2091,Tree Girdlers and Timber Tongs
2093,"Umbrellas, Tractor"
2095,"Unloaders and Elevators, Grain"
2096,"Wedge, Steel, Tree Felling and Splitting"
2204,"Brush Chipper, Cutter and Saw Parts"
2213,Cultivating Equipment Parts
2215,"Cutter and Shredder (Mower), Flail, Rotary, Reel, and Sickle Bar Parts"
2230,Fertilizer Distributor Parts
2241,Harvesting Equipment Parts
2249,Implement Parts for John Deere
2251,Implement Parts for Ford
2253,Implement Parts for International Harvester
2258,Implement Parts for other Farm Equipment
2270,Planting Equipment Parts
2273,Posthole Digger (Tractor Mounted) Parts
2280,Tractor (Farm and Garden) Parts
2282,Tree Spade and Forestry Equipment Parts
2295,Unloader and Elevator (Grain) Equipment Parts
2297,Wagon Parts
2510,"Compressor, Bare Unit (Not Mounted or Powered), 15 HP and less"
2520,"Compressor, Bare Unit (Not Mounted or Powered), over 15 HP"
2530,"Compressor, Base or Tank Mounted, Electric Motor or Engine Driven, 15 HP and less; and Parts"
2540,"Compressor, Base or Tank Mounted, Electric Motor or Engine Driven, Over 15 HP; and Parts"
2543,"Compressors, High Pressure, All Sizes and Models"
2545,"Compressor, Portable, Electric Motor or Engine Driven, 5 HP and less; and Parts"
2550,"Compressor, Portable, Electric Motor or Engine Driven, over 25 CFM at 100 PSI; and Parts"
2555,"Dryers, Desiccant Air"
2560,"Filters, Air Gauges and Valves, Pressure Regulators, Shock Mounts, etc."
2570,"Moisture Separators, Non_Refrigerated"
2580,"Moisture Separators, Refrigerated"
3103,"Air Conditioners: Commercial, and Parts and Accessories not Individually Itemized"
3104,"Air Conditioners: Controlled Environment (For Computer Rooms, etc.), and Parts and Accessories not Individually Itemized)"
3105,"Air Conditioners (Cooling and Cooling/Heating Types): Window and Wall Mounted, and Parts and Accessories Not Individually Itemized"
3106,"Air Conditioning and Heating: Central Units, and Parts and Accessories Not Individually Itemized"
3108,Air Doors and Curtains
3109,Air Flow Meters
3110,"Air Purifiers, Accessories and Supplies"
3111,Blowers: Industrial Types
3113,"Chillers, Heat Exchangers and Receivers"
3115,Chilled Water Meter System
3117,"Coils: Chilled or Heated Water, and Direct Expansion"
3118,"Coil and Fan Units, Air Conditioning"
3120,"Compressors, Air Conditioning: Hermetically Sealed, Window Unit Type"
3121,"Compressors, Air Conditioning: Industrial Type, and Parts"
3123,Condensing Units (For Air Conditioners)
3125,"Controls: Limit Switches, Relays, Thermostats, Gas Valves, etc."
3126,Control Systems: Complete (For Automatic Temperature Control)
3128,"Cooling Towers: Forced Air, Gravity, etc."
3130,Dehumidifiers and Humidifiers
3132,"Duct, Prefabricated (Flexible or Rigid): Glass Fiber, Plastic, etc."
3133,"Duct, Fabricated, Metal"
3134,"Dust Collectors, Industrial Type"
3136,"Electronic Air Cleaners, Electrostatic Precipitators, Accessories, and Parts"
3138,Evaporative Coolers
3140,"Fans, Industrial Types: Attic, Exhaust, Forced Draft, etc."
3141,"Fans, Room Type, Ceiling and Portable Type (Stationary and Oscillating)"
3143,"Filter Coating, Adhesive, Coil Cleaners, Degreasing Solvents, etc."
3144,"Filters, Air Conditioning (Permanent Type)"
3145,"Filters, Air Conditioning (Disposable Types)"
3146,"Filters and Filter Media, Evaporative Cooler"
3149,"Filter Frames, Metal"
3150,Freon
3151,"Furnaces, Central Heating Type (Forced Air, Gas Fired)"
3153,"Grilles, Diffusers, Registers, etc."
3155,"Hand Tools, Air Conditioning and Heating Service Type (Including Leak Detectors)"
3156,Heat Pumps
3157,"Heaters, Electric (Baseboard Type) and Parts"
3158,"Heaters, Electric (Panel or Wall Type) and Parts"
3159,"Heaters, Electric (Portable) and Parts"
3160,"Heaters, Gas_Fired (Space Type, Vented and Unvented) and Parts"
3161,"Heaters, Gas_Fired (Wall Type, Vented and Unvented) and Parts"
3162,"Heaters, Kerosene or Oil Fired (Space Type, Vented and Unvented) and Parts"
3163,"Heaters, Space, Steam"
3165,"Heating Elements, Electric"
3169,Odor Control Equipment (Indoor)
3172,"Pumps, Descaling Acid"
3173,"Pumps, Refrigerant Circulating"
3174,"Pumps, Refrigerant Vacuum"
3178,"Roof Ventilators, Power Driven"
3179,"Roof Ventilators, Wind Driven"
3182,"Stoves, Wood or Coal"
3187,Testing and Recording Instruments
3189,Thermometers and Gauges
3191,"Unit Heaters, Electric (Duct and Suspended Types)"
3192,"Unit Heaters, Gas_Fired (Duct and Suspended Types)"
3193,"Unit Heaters, Gas_Fired (Radiant and Infrared, Portable and Stationary)"
3194,"Unit Heaters, Steam and Hot Water Types"
3195,"Ventilators, All Types (See 031_78, 79 For Roof Type)"
3196,"Vent Pipes, Fittings, and Accessories"
3505,Aircraft Crash Locators and Accessories
3510,Aircraft Navigation Radio
3515,Aircraft Radar
3520,Airplanes
3525,Automatic Pilot Systems
3526,Baggage Handling Equipment and Parts
3527,"Beacons, Visual and Runway Lights"
3529,"Drop Equipment and Supplies, Aerial"
3530,"Engines and Parts, Airplane"
3535,"Engines and Parts, Helicopter"
3540,"Equipment and Supplies, Airplane"
3545,"Equipment and Supplies, Helicopter"
3547,Flight Simulator
3548,Gliders
3550,Helicopters
3555,Instrument Landing Systems
3560,"Instruments and Testers, Airplane"
3565,"Instruments and Testers, Helicopter"
3570,"Parts (Except Engine), Airplane"
3575,"Parts (Except Engine), Helicopter"
3581,"Sweepers, Runway (See 765_77 for Street Sweepers)"
3582,Taxiway and Runway Testing Equipment and Supplies
3585,"Tools, Airplane"
3590,"Tools, Helicopter"
3592,"Wind Tees and Wind Socks, Airport"
3595,"X_Ray Scanner, Airport"
3718,Bar Equipment and Accessories
3734,"Decorations: Christmas, Party, etc."
3739,Educational Games (Except Electronic)
3752,Novelties
3764,"Replicas: Food, Fruit, etc."
3775,Soda Fountain Equipment and Accessories
3778,"Souvenirs: Promotional, Advertising, etc."
3784,Toys and Games (Not Educational Type)
4003,"Animal Care Supplies (Collars, Clothing, Leashes, etc.)"
4004,Animal Training Equipment and Supplies
4005,Bees
4007,Birds
4009,"Cats, All Types (Pets)"
4010,"Cattle, Beef"
4020,"Cattle, Dairy"
4022,"Chicks, Meat Type, Baby"
4024,"Chicks, Meat Type, Starter"
4026,"Cockerels, All Types, Baby"
4028,"Cockerels, All Types, Starter"
4030,"Dogs, All Types"
4035,Earthworms
4040,"Fish, Brood and Fingerling"
4042,Fish (Not Otherwise Specified)
4045,"Fish, Tropical"
4050,Goats
4060,Hogs
4070,Horses
4075,Marine Life (Not Otherwise Specified)
4080,Mules
4083,"Pullets, Laying Types, Baby"
4084,"Pullets, Laying Types, Starter"
4085,Rabbits
4090,Sheep
4091,"Specialty Items for Shows and Entertainment (Perches, Hoods, Hoops, etc.)"
4093,"Turkeys, Baby"
4094,"Turkeys, Starter"
4096,"Zoo Animals, All Types"
4506,"Appliances, Small, Electric"
4512,"Appliances, Small, (Not Electric)"
4518,"Cleaners and Sweepers, Hand_Operated"
4524,Dishwashers
4530,Disposal Units
4546,"Hot Plates, Gas"
4548,Ironing Tables (Ironing Boards)
4549,Ironing Table (Board) Pads and Covers
4550,"Kitchen Units, Compact, Complete"
4552,"Ovens, Microwave"
4554,"Ranges, Stove Tops, and Ovens, Electric"
4560,"Ranges, Stove Tops, and Ovens, Gas"
4566,Refrigerators and Freezers
4572,"Storage Baskets, Metal and Plastic (For Freezers)"
4575,Trash Compactors (See 165 and 545 for Other Types)
4577,"Vacuum Cleaners, Manual (Including Parts and Accessories)"
4578,"Vacuum Cleaners, Electric (Including Parts and Accessories)"
4584,Vent Hoods (For Ranges)
4585,"Vent Kits, Household Laundry Dryer"
4592,"Washers and Dryers, Coin_Operated Type"
4594,"Washers and Dryers, Residential Type"
5010,Block Printing Supplies
5023,"Coatings, Protective (For Artwork)"
5030,"Cloth (For Application of Designs and Transfers): Burlap, Linen, etc."
5040,"Drawing and Painting Supplies: Brushes, Chalk, Colors (Acrylic, Oil, Water, etc.), Crayons, Palettes, Paper and Pads, Staples, etc."
5046,Letter Cutting Machine
5050,"Engraving, Etching, and Lithography Equipment and Supplies"
5060,"Picture Frames and Framing Supplies: Mat Cutters, Mats, Molding, Stretcher Strips, etc."
5080,"Sculpturing Equipment and Supplies: Casting Materials, Modeling Clay, Sculptor's Tools, etc."
5085,Silk Screen Process Supplies
5208,Ceramic and Glass Objects
5216,Drawings (Originals)
5224,"Engravings, Etchings, Lithographs, Serigraphs, and Similar Reproductions"
5232,Fabric Designs
5240,Masks
5248,Mixed Media
5256,Painting (Originals)
5264,Photographs
5272,Posters and Prints (Not Originals)
5280,"Sculptures: Marble, Metal, Plastic, etc."
5288,Wood Carvings
5502,"Air Bags, Automotive"
5504,Air Conditioners and Parts
5505,"Anti_theft Devices, Automotive"
5506,Automobile Top Carriers
5508,"Belts, Safety; and Child Restraint Systems"
5510,Brake Adjusters
5511,Bug Screens
5513,Car Seats for Infants
5515,"Chains and Traction Belts, Tire"
5516,"Consoles, Police Vehicle (Includes Controls for P.A., Sirens, Warning Devices)"
5518,Controls (For the Physically Impaired)
5521,Couplings and Hitches
5524,"Cushions and Covers, Seat, Automotive"
5527,"Emergency Kits for Vehicles Including First Aid Kit, Tools, etc."
5528,"Fans, Cab"
5530,Fifth Wheels
5532,"Gauges, Automotive"
5534,"Generators, 110V (Attached to and Operated by Automotive Engine)"
5536,Grille Guards
5537,"Headlights, Accessories and Parts (Including Lamps)"
5538,Heaters
5539,"Immobilizer Devices, Vehicle"
5540,"Interior Trim Items, Vehicle"
5546,"Lights: Back_up, Stop, Tail, and Parking"
5548,Lights: Clearance and Marker
5551,Lights: Directional and Turn Signal
5554,"Lights: Emergency, Flood, Trouble and Spotlights"
5556,"Lights, Miniature, Automotive"
5557,"Lights and Accessories: Flashing, Revolving, and Warning (Including Strobe/Warning Lights)"
5561,"Mats, Floor (See 760_56 for Heavy Equipment Type)"
5564,"Mirrors, Rearview, Interior and Exterior"
5566,Moisture Separators
5568,"Monitors, Computerized (Brakes, Lights, RPM, Temperature, etc.)"
5569,"Organizers (Cup Holders, Tissue Dispenser, etc.)"
5570,Power Takeoff
5572,Propane/Butane or Natural Gas Conversion Equipment
5574,"Racks, Vehicle (Gun, Hat, etc.)"
5575,"Reel Assembly, Cable, Vehicle Mounted"
5576,Reflectors
5577,"Rings, Key, Vehicle, All Types"
5578,"Seats and Parts, Automotive"
5579,"Sirens, Horns and Back_up Alarms"
5582,Splash Guards
5583,"Switches and Flashers, Automotive"
5585,"Tanks, Fuel, Auxiliary"
5588,Tops and Covers (For Short Wheelbase Vehicles)
5589,"Warning Devices, Triangular"
5590,"Wheelchair Lift and Accessories, Vehicle_Mounted"
6001,"Adapters and Clevises, Automotive Parts"
6003,Antifreeze
6006,"Axles, Trailers and Trucks, Tandem and Single"
6009,Batteries (For Electric Vehicles)
6012,"Batteries, Storage; and Electrolyte"
6015,"Brakes, Electric Controller"
6018,"Brake Fluid, Hydraulic"
6021,"Brakes, Repairs, and Replacements (Not Electric Controller)"
6023,Bushings and Related Items
6024,"Cables, Looms, and Terminals"
6027,"Cement, Radiator"
6033,"Clamps, Hose"
6035,"Cooling System: Radiators, Complete and Cores; Thermostats; Water Pumps; etc."
6036,"Electrical Accessories: Alternators, Ammeters, Coils, Distributors, Generators, Regulators, Starters, etc."
6037,Electrical Parts (Not Ignition)
6038,"Engines, Diesel (Automotive) and Replacement Parts"
6040,"Engines, Gasoline: Complete, Short Block, and Parts"
6041,"Exhaust System: Clamps, Exhaust Pipes, Mufflers, Tailpipes, etc."
6042,"Filters: Air, Fuel, Oil, Power Steering, Transmission and Water, and PCV Valves"
6045,Fittings (For Copper Tubing)
6046,Front End Alignment Parts and Accessories (See 075 for Equipment)
6047,"Fuel System: Carburetors and Kits, Fuel Pumps, Tanks and Caps, etc."
6050,"Fuses, Automotive"
6054,Gaskets and Gasket Material
6057,"Glass: Door, Windshield, etc."
6058,"Governors, Engine and Road Speed"
6060,"Hose and Hose Fittings: Brake, Heater, Radiator, Vacuum, Washer, Wiper, etc."
6061,Hydraulic System Components and Parts
6063,"Ignition System: Condensers, Points, Rotors, Spark Plugs (Not Aircraft), Spark Plug Wires, etc."
6064,Lubricating System and Parts (See 060_42 for Filters and Class 075 for Equipment)
6065,Power and Drive Train Components and Parts
6069,Replacement Parts for American Motors
6070,Replacement Parts for Chrysler (Mopar)
6071,Replacement Parts for Ford
6072,Replacement Parts for General Motors
6073,Replacement Parts for International Harvester
6074,"Replacement Parts for other than American Motors, Chrysler, Ford, General Motors, and International Harvester"
6075,Retread Rubber
6078,Retreading Equipment
6079,Seals and O_Rings
6083,"Shock Absorbers, Struts, etc."
6084,"Springs, Leaves, etc."
6086,Steering Components and Parts
6087,Tire and Tube Repair Items and Vulcanizers
6093,Tire Sealing Compound
6094,"Transmissions, Standard and Automatic Including Clutch Assemblies and Parts"
6095,Wheel Bearings and Seals
6096,Wheels and Rims Including Wheel Covers and Hubcaps
6097,"Windshield Wiper and Washer Assemblies, and Parts Including Windshield Washer Fluid"
6505,Aerial Ladders and Towers (Including Buckets for Personnel)
6507,"Bodies and Parts, Passenger Cars"
6508,"Bodies, Animal Control"
6510,"Bodies, Utility"
6515,Bookmobile Bodies
6517,"Bus Bodies, School"
6523,Cement Truck Bodies
6525,"Covers, Camper Shells, Load Covers, etc. (For Trucks)"
6527,"Derrick, Digger, Truck Mounted"
6530,"Dump Bodies, Hoist Subframes, etc."
6534,Fire Protection and Crash Rescue Bodies
6535,Flat Bed Bodies
6540,Grain Bodies
6543,"Handles, Grab"
6545,Headache Racks (For Truck Bodies)
6550,Ladder Rack Bodies
6555,Livestock Bodies
6560,Milk Delivery Bodies
6562,Mobile Service and Lubrication Bodies
6565,Oil Field Bodies
6566,Ordnance (Explosive) Disposal Bodies
6567,Platform Bodies (Including Elevating Type)
6568,Powerlift Tailgate
6569,Pickup Truck Bodies
6570,Refrigerated Bodies
6575,Refuse/Garbage Collection Bodies and Parts
6578,Sewer/Catch Basin Cleaning Body and Equipment
6580,Stake Bodies
6583,Tanker Truck Bodies
6585,Tool Compartment Boxes (For Trucks)
6587,Truck Bed Liners
6590,Van Truck Bodies
6592,Water Tank Bodies
6594,"Winches and Cranes, Automotive"
6595,Wrecker Bodies
7003,Ambulances and Rescue Vehicles
7006,Automobiles and Station Wagons
7008,Bookmobiles Complete
7012,"Motorcycles, Accessories, and Parts"
7015,Motor Homes
7018,"Motor Scooters and Trucksters, Engine Driven"
7020,"Motor Scooters and Trucksters, Electric Powered (Including Golf Carts)"
7022,Off_Road Vehicles (Tracked or Wheeled)
7024,Prisoner Transport Bus and Van (Including Special Components)
7030,School Bus Chassis
7033,"School Buses, Complete, Conventional Type"
7036,"School Buses, Complete, Small Vehicle Type"
7042,"Short Wheelbase, Two_and Four_Wheel Drive Vehicle"
7043,Snowmobiles
7045,Truck Tractors
7047,"Trucks, Cab and Chassis Only"
7048,Trucks (One Ton and Less Capacity)
7051,Trucks (Over One Ton Capacity)
7053,"Trucks (With Specialized Bodies _ Aerial Ladders and Tower Buckets, Diggers, etc.)"
7054,"Trucks, Diesel (All Capacities)"
7057,"Trucks, Fire Protection and Crash Rescue"
7059,"Trailers, Custom: Personnel, Food Service, Equipment, etc."
7061,"Trailers, Dump, Hydraulic"
7063,"Trailers, Farm Implement and Produce"
7066,"Trailers, Flat Bed"
7069,"Trailers, Gooseneck"
7072,"Trailers, House (Mobile Dorms, Homes, Labs, Offices)"
7073,"Trailers, Hydraulic Elevating Type"
7075,"Trailers, Livestock"
7078,"Trailers, Lowboy"
7079,"Trailers, Roller Bed"
7080,"Trailers, Tank"
7081,"Trailers, Tilt Bed"
7084,"Trailers, Van, Completely Enclosed"
7087,"Trailers, Van, Semi_Enclosed"
7089,"Trams, Touring"
7092,"Vans, Cargo"
7093,"Vans, Personnel (Regular and Handicapped Equipped)"
7094,"Vans, Modified (Custom)"
7095,Wreckers
7501,"Air Powered Shop Tools, Regulators, and Parts"
7502,"Alarm Systems, Visual and Audio (For Electrically and Mechanically Operated Doors)"
7503,"Aligners, Balancers, and Accessories, Wheel"
7506,"Battery Chargers and Testers, Automotive (See Also Class 725)"
7508,Brake Bench Stands
7512,Carbon Removing Tools
7514,"Cements (For Chromated Felt, Gaskets, Trim, and Weather Strip) and Gasket Shellac"
7517,Chamois and Sponges (Including Car Wash Mittens and Windshield Squeegees)
7519,"Cleaning and Washing Equipment, Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary"
7520,Crankshaft Truing and Engine Stands
7522,Creepers
7525,Dynamometers
7527,Fender Covers
7528,"Files, Ignition, Tungsten Point"
7531,"Grinders, Cylinder Hone and Valve Seat; Portable Boring Machines; Hones; and Boring Bars"
7533,"Hand Tools, Automotive Air Conditioning (Including Refrigerant Charging Equipment)"
7534,"Hand Tools, Body Rebuilder's"
7535,"Hand Tools, Special Automotive: Brake Tools, Body and Fender Dollies, Hand Operated Pullers, Mechanic's Inspection Mirror, etc. (For Hardware See Class 450)"
7536,"Hose, Exhaust (For Shop Use Only)"
7538,"Hydrometers, Antifreeze and Battery"
7541,"Jacks, Safety Stands, Portable Cranes, and Parts (For Automobiles, Trucks, and Transmissions)"
7542,"Lights, Drop, and other Remote Work Lights (With Cords)"
7543,"Lathes, Armature and Brake Drum"
7544,"Lifts and Hoists, Floor Type: Electric, Hydraulic, or Pneumatic"
7546,"Lubrication Equipment: Guns, Hoses, Fittings, Lubricators, Oil Pumps, etc. (Including Oil Filter Presses)"
7548,Mechanic's Wire
7549,Parts Washing Equipment Including Air Agitated and Pump Agitated
7550,Oil Analysis and Diagnostic Equipment
7554,"Presses and Pullers, Machine Powered (Including Frame Alignment)"
7556,Recycled Automotive Products (Not Otherwise Classified)
7557,"Reel and Hose Assemblies, Air and Water Dispensing"
7560,"Refinisher Products (Including Polish and Body Filler, For Paint See Class 630)"
7563,Relining Equipment (For Brakes)
7565,"Spark Plug Cleaner and Tester, Electric"
7566,"Specialty Products: Carburetor Cleaning Compound, Radiator Flush and Stop Leak, Transmission Sealing Compound, Water Pump Lubricant, Windshield Washer Solvent, etc."
7567,"Spring Tester (To Balance Valve Springs, etc.)"
7572,Tachometer (With Wheel for Speed Recording)
7578,"Testers: Engine Analysis, Headlight, Ignition, Timing, Compression, Oscilloscopes, Stroboscopes, etc."
7581,Tire Changing Equipment
7583,"Tire Changing Tools and Accessories: Lug Wrenches, Tire Gauges, Tire Pumps, etc."
7587,Tow Bars and Chains
7590,Undercoater Equipment and Accessories
7592,Undercoating Compounds
7594,Wheel Chocks (Blocks)
7595,Valve Grinding Compounds
7597,Windshield Replacement Tools
8010,"Badges, Buttons, Emblems, and ID Cards, Celluloid and Plastic: Student, Faculty, Membership, Employee, etc."
8015,"Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc."
8025,"Card Holders, All Types (See Class 578 for Metal)"
8035,"Convention Badges and Name Tags, Adhesive Back"
8038,"Convention Badges and Name Tags, Nonadhesive type"
8044,"Fasteners (For Badges, etc.): Metal, Plastic, etc."
8046,"Jewelry, All Types"
8050,"Nameplates, Metal, Adhesive Back"
8053,"Nameplates, Metal, Nonadhesive"
8055,"Nameplates, Plastic"
8057,Ribbons and Rosettes (Awards)
8070,"Tags, Metal, Adhesive Back: Inventory, Property, Tool, etc."
8073,"Tags, Metal, Nonadhesive: Inventory, Property, Skiff, Seine Trawl, etc."
8075,"Tags, Pet Identification"
8078,"Trophies, Plaques, Awards, etc. (Not Otherwise Classified)"
8080,"Wildlife Bands, Labels, and Tags"
8510,"Bagging, Burlap (For Baling Cotton)"
8515,"Bags, Burlap or Jute"
8520,"Bags, Canvas or Duck (Except Mail)"
8525,"Bags, Cement"
8527,"Bags, Denim"
8530,"Bags, Mail"
8535,"Bags, Muslin"
8540,"Bags, Osnaburg"
8545,"Bags: Nylon, Polyester, Polypropylene"
8550,"Bags, Potato"
8555,"Bags, Sand"
8565,"Patterns, Cotton Bagging"
8575,"Sacks, Cotton Harvesting"
8580,"Seals, Mailbag, etc."
8585,"Sheeting, Soil Erosion: Asphalt, Biodegradable Paper, Burlap, Excelsior, Jute, Straw, etc."
8590,Ties For Bags and Cotton Bales
9016,Dough Mixers
9024,Dough Sheeters and Dividers
9032,Dough Troughs
9040,Dough Trucks
9048,Flour Sifters
9056,"Ovens, Bakery"
9064,Proof Boxes
9072,Roll Dividers and Rounders
9080,"Slicers, Bread"
9088,"Tables, Bakers'"
9096,"Wrapping Machines, Bakery"
9505,Barber Chairs and Parts
9508,Barber Jackets
9511,"Barber Shop Basins, Bowls, and Fittings"
9514,Barber Shop Cabinets and Parts
9517,Barber Shop Mirrors
9520,"Barber Shop Sterilizers, and Sterilizing Jars"
9521,"Barber Shop Sundries: Clipper Lubricants, Disinfectants, Dispensing Bottles, Mugs, Neck Dusters, Trays, etc."
9523,"Beauty Shop Basins, Bowls, and Fittings"
9526,Beauty Shop Cabinets and Parts
9529,Beauty Shop Chairs and Parts
9532,Beauty Shop Foot Rests
9535,Beauty Shop Lamps and Parts
9538,Beauty Shop Mirrors
9541,Beauty Shop Stools
9544,Beauty Shop Tables
9548,Cases (For Barber and Beauty Kits)
9550,"Chair Cloths, Shampoo Capes, and Clips"
9553,Clippers and Parts (Hair)
9562,"Dryers, Curling Irons, and Parts (Hair)"
9566,Make_Up Mirrors
9571,Lather Makers and Parts
9572,"Mats, Barber Chair"
9589,Shears and Tweezers
9592,"Strops and Hones, Razor"
9595,"Vibrators, Massagers, and Parts"
10005,"Boxes, Crates, Baskets, etc. (For Fresh Fruits and Vegetables)"
10006,"Containers, Plastic (All Purpose)"
10007,"Containers, Recycling"
10008,"Covers, Drum (All Types and Sizes)"
10010,"Drum Spigots, Metal or Plastic"
10015,"Drums, Fiber"
10021,Freight and Cargo Containers (Shipping) (See Class 640 For Boxes)
10025,"Gaskets, All Types (For Barrels, Drums, Kegs, and Pails)"
10030,Hazardous Material (Chemicals) Containment/Storage
10031,Hazardous Material Containment/Storage (Petroleum)
10037,"Labels, Hazardous Material Container"
10040,"Pail_Type Containers, Steel"
10045,"Plastic Barrels and Drums, Reinforced"
10050,"Plugs, Drum"
10057,Repair Supplies and Equipment for all Types of Containers
10059,Shaker Cans
10060,Stainless Steel Drums
10067,"Steel Barrels, Drums, and Kegs"
10085,Wooden Barrels and Drums
10512,Ball Bearings and Parts
10518,Bearing Assemblies (Including Hanger Bearings and Custom_Made Bearings)
10530,Bearings and Parts (For Marine Equipment)
10536,Journal Boxes
10548,Pillow Blocks (For Bearings)
10560,"Roller and Needle Bearings and Parts, Straight"
10572,Roller Taper Bearings and Parts
10584,Sleeve Bearings and Parts
11009,"Accessories: Dressing, Hooks, Laces, etc."
11018,Conveyor and Elevator: Canvas and Duck
11022,"Conveyor and Elevator: Neoprene, Plastic, and Rubber"
